# METADATA:
# 07630: Toulouse-Blagnac
# Source: www.infoclimat.fr/MeteoFrance
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
07630;2022-01-01 00:00:00;5.7;1026.6;97;5.3;3000;3.6;3.6;270;0;0;;;10
07630;2022-01-01 03:00:00;4.3;1026.5;99;4.2;1600;3.6;7.2;180;0;0;;;10
07630;2022-01-01 06:00:00;2.1;1026.7;98;1.8;5000;7.2;10.8;170;0;0;;;
07630;2022-01-01 09:00:00;5.3;1028;90;3.8;8000;7.2;10.8;130;0;0;;;
07630;2022-01-01 12:00:00;12.3;1027.3;75;8;26000;7.2;14.4;40;0;0;;;
07630;2022-01-01 15:00:00;16.2;1025.6;67;10.1;35000;10.8;18;140;0;0;;;
07630;2022-01-01 18:00:00;10.2;1026.2;90;8.6;19000;3.6;7.2;140;0;0;;;
07630;2022-01-01 21:00:00;6.9;1026.1;98;6.6;1700;10.8;10.8;140;0;0;;;10
07630;2022-01-02 00:00:00;4.5;1026.2;98;4.2;4700;7.2;14.4;150;0;0;;;10
07630;2022-01-02 03:00:00;4.4;1025.9;99;4.3;13000;10.8;14.4;190;0;0;;6;
07630;2022-01-02 06:00:00;6.2;1025.8;100;6.2;8000;10.8;18;170;0;0;;7;
07630;2022-01-02 09:00:00;7.6;1028.1;100;7.6;6000;10.8;18;190;0;0;;7;
07630;2022-01-02 12:00:00;11.1;1028.4;81;8;18000;7.2;25.2;210;0;0;;;
07630;2022-01-02 15:00:00;15.6;1027.8;66;9.3;30000;3.6;10.8;300;0;0;;;
07630;2022-01-02 18:00:00;12;1029.1;86;9.7;13000;10.8;18;330;0;0;;;
07630;2022-01-02 21:00:00;8.9;1029.9;94;8;7000;7.2;10.8;200;0;0;;;
07630;2022-01-03 00:00:00;6.6;1029.1;98;6.3;4900;3.6;14.4;170;0;0;;;10
07630;2022-01-03 03:00:00;5.4;1027.9;99;5.3;3200;7.2;10.8;160;0;0;;7;10
07630;2022-01-03 06:00:00;4.6;1027.1;99;4.5;1600;3.6;7.2;140;0;0;;;10
07630;2022-01-03 09:00:00;6;1026.7;100;6;12000;3.6;7.2;200;;0;;;
07630;2022-01-03 12:00:00;12.9;1023.4;79;9.3;22000;3.6;14.4;100;0;0;;;
07630;2022-01-03 15:00:00;14.9;1020.3;70;9.5;40000;7.2;14.4;130;0;0;;;
